Total Ranks,Decomposition,Scatter time (ms),Sobel time (ms),Gather time (ms),Sent count,Sent bytes
4,Row-slab,36.8256,36.1475,30.8697,6,"219,760,800"
4,Column-slab,38.8577,36.0242,34.9225,6,"219,693,032"
4,Tiled,36.2881,36.1356,33.4108,6,"219,663,672"
9,Row-slab,53.492,16.1801,41.4334,16,"260,725,920"
9,Column-slab,65.7225,16.369,47.6082,16,"260,572,856"
9,Tiled,55.8347,16.1809,42.9407,16,"260,450,264"
16,Row-slab,44.7526,9.2577,38.6634,30,"275,348,192"
16,Column-slab,57.5069,9.2963,47.5993,30,"275,105,160"
16,Tiled,45.1618,9.7267,38.7443,30,"274,776,828"
25,Row-slab,51.9745,6.3464,43.0049,48,"282,460,192"
25,Column-slab,63.8906,6.4568,52.4473,48,"282,062,552"
25,Tiled,52.4966,5.8226,45.3259,48,"281,463,616"
36,Row-slab,50.1295,5.1813,42.72,70,"286,670,496"
36,Column-slab,58.0409,4.4233,49.422,70,"286,097,016"
36,Tiled,54.9518,4.1597,44.9129,70,"285,145,004"
49,Row-slab,56.3964,4.3561,46.3378,96,"289,515,296"
49,Column-slab,61.9107,3.1429,50.7438,96,"288,772,936"
49,Tiled,55.7689,3.2786,48.0553,96,"287,394,688"
64,Row-slab,56.1337,4.0456,47.3857,126,"291,791,136"
64,Column-slab,64.1064,2.7555,52.5485,126,"290,790,168"
64,Tiled,57.9238,2.5351,47.7335,126,"288,894,900"
81,Row-slab,58.2516,3.4102,47.8888,160,"293,725,600"
81,Column-slab,68.2545,3.5149,54.1364,160,"292,478,056"
81,Tiled,62.0153,2.2305,47.991,160,"289,958,184"
