Sample,Width,Height,Depth,Sphere Grid Size,Collapse,Loop Order,Threads,Schedule,Chunk Size,Objects.size(),Elapsed Time
32,512,288,32,64,enabled,XY,1,Dynamic,1,16388,682.514
32,512,288,32,64,enabled,XY,2,Dynamic,1,16388,355.45
32,512,288,32,64,enabled,XY,4,Dynamic,1,16388,175.264
32,512,288,32,64,enabled,XY,8,Dynamic,1,16388,89.1378
32,512,288,32,64,enabled,XY,16,Dynamic,1,16388,44.3099
32,512,288,32,64,enabled,XY,32,Dynamic,1,16388,24.257
32,512,288,32,64,enabled,XY,64,Dynamic,1,16388,12.9488
32,512,288,32,64,enabled,XY,128,Dynamic,1,16388,9.12617
32,512,288,32,64,enabled,XY,256,Dynamic,1,16388,8.80761
32,512,288,32,1,enabled,XY,1,Dynamic,1,8,0.993906
32,512,288,32,1,enabled,XY,2,Dynamic,1,8,1.9443
32,512,288,32,1,enabled,XY,4,Dynamic,1,8,2.02149
32,512,288,32,1,enabled,XY,8,Dynamic,1,8,2.01585
32,512,288,32,1,enabled,XY,16,Dynamic,1,8,2.1584
32,512,288,32,1,enabled,XY,32,Dynamic,1,8,1.50357
32,512,288,32,1,enabled,XY,64,Dynamic,1,8,1.07338
32,512,288,32,1,enabled,XY,128,Dynamic,1,8,0.84874
32,512,288,32,1,enabled,XY,256,Dynamic,1,8,0.672626
32,512,288,32,2,enabled,XY,1,Dynamic,1,20,1.38232
32,512,288,32,2,enabled,XY,2,Dynamic,1,20,1.87557
32,512,288,32,2,enabled,XY,4,Dynamic,1,20,2.08228
32,512,288,32,2,enabled,XY,8,Dynamic,1,20,2.08968
32,512,288,32,2,enabled,XY,16,Dynamic,1,20,2.3525
32,512,288,32,2,enabled,XY,32,Dynamic,1,20,1.59538
32,512,288,32,2,enabled,XY,64,Dynamic,1,20,0.920513
32,512,288,32,2,enabled,XY,128,Dynamic,1,20,0.755876
32,512,288,32,2,enabled,XY,256,Dynamic,1,20,0.731346
32,512,288,32,4,enabled,XY,1,Dynamic,1,68,3.27919
32,512,288,32,4,enabled,XY,2,Dynamic,1,68,2.9413
32,512,288,32,4,enabled,XY,4,Dynamic,1,68,3.10441
32,512,288,32,4,enabled,XY,8,Dynamic,1,68,2.96967
32,512,288,32,4,enabled,XY,16,Dynamic,1,68,2.9294
32,512,288,32,4,enabled,XY,32,Dynamic,1,68,1.86243
32,512,288,32,4,enabled,XY,64,Dynamic,1,68,1.12949
32,512,288,32,4,enabled,XY,128,Dynamic,1,68,0.885979
32,512,288,32,4,enabled,XY,256,Dynamic,1,68,0.787116
32,512,288,32,8,enabled,XY,1,Dynamic,1,260,11.3386
32,512,288,32,8,enabled,XY,2,Dynamic,1,260,7.66415
32,512,288,32,8,enabled,XY,4,Dynamic,1,260,4.94448
32,512,288,32,8,enabled,XY,8,Dynamic,1,260,4.07986
32,512,288,32,8,enabled,XY,16,Dynamic,1,260,3.85625
32,512,288,32,8,enabled,XY,32,Dynamic,1,260,2.53091
32,512,288,32,8,enabled,XY,64,Dynamic,1,260,1.53236
32,512,288,32,8,enabled,XY,128,Dynamic,1,260,1.15913
32,512,288,32,8,enabled,XY,256,Dynamic,1,260,0.949902
32,512,288,32,16,enabled,XY,1,Dynamic,1,1028,41.7011
32,512,288,32,16,enabled,XY,2,Dynamic,1,1028,23.0087
32,512,288,32,16,enabled,XY,4,Dynamic,1,1028,12.2108
32,512,288,32,16,enabled,XY,8,Dynamic,1,1028,6.79535
32,512,288,32,16,enabled,XY,16,Dynamic,1,1028,4.48316
32,512,288,32,16,enabled,XY,32,Dynamic,1,1028,3.13295
32,512,288,32,16,enabled,XY,64,Dynamic,1,1028,2.08251
32,512,288,32,16,enabled,XY,128,Dynamic,1,1028,1.42968
32,512,288,32,16,enabled,XY,256,Dynamic,1,1028,1.07063
32,512,288,32,32,enabled,XY,1,Dynamic,1,4100,170.947
32,512,288,32,32,enabled,XY,2,Dynamic,1,4100,91.0147
32,512,288,32,32,enabled,XY,4,Dynamic,1,4100,44.6743
32,512,288,32,32,enabled,XY,8,Dynamic,1,4100,23.1416
32,512,288,32,32,enabled,XY,16,Dynamic,1,4100,12.0964
32,512,288,32,32,enabled,XY,32,Dynamic,1,4100,6.89713
32,512,288,32,32,enabled,XY,64,Dynamic,1,4100,3.86818
32,512,288,32,32,enabled,XY,128,Dynamic,1,4100,2.58723
32,512,288,32,32,enabled,XY,256,Dynamic,1,4100,2.25393
