Sample,Width,Height,Depth,Sphere Grid Size,Collapse,Loop Order,Threads,Schedule,Chunk Size,Objects.size(),Elapsed Time
32,512,288,32,1,enabled,XY,1,Dynamic,1,,1.229
32,512,288,32,1,enabled,XY,2,Dynamic,1,,1.60115
32,512,288,32,1,enabled,XY,4,Dynamic,1,,1.58845
32,512,288,32,1,enabled,XY,8,Dynamic,1,,1.57759
32,512,288,32,1,enabled,XY,16,Dynamic,1,,1.55074
32,512,288,32,1,enabled,XY,32,Dynamic,1,,1.11419
32,512,288,32,1,enabled,XY,64,Dynamic,1,,0.769071
32,512,288,32,1,enabled,XY,128,Dynamic,1,,0.64075
32,512,288,32,1,enabled,XY,256,Dynamic,1,,0.515807
32,512,288,32,2,enabled,XY,1,Dynamic,1,,1.46808
32,512,288,32,2,enabled,XY,2,Dynamic,1,,1.74175
32,512,288,32,2,enabled,XY,4,Dynamic,1,,1.80433
32,512,288,32,2,enabled,XY,8,Dynamic,1,,1.68888
32,512,288,32,2,enabled,XY,16,Dynamic,1,,1.65319
32,512,288,32,2,enabled,XY,32,Dynamic,1,,1.16271
32,512,288,32,2,enabled,XY,64,Dynamic,1,,0.752964
32,512,288,32,2,enabled,XY,128,Dynamic,1,,0.616277
32,512,288,32,2,enabled,XY,256,Dynamic,1,,0.547653
32,512,288,32,4,enabled,XY,1,Dynamic,1,,2.10032
32,512,288,32,4,enabled,XY,2,Dynamic,1,,2.1433
32,512,288,32,4,enabled,XY,4,Dynamic,1,,2.20082
32,512,288,32,4,enabled,XY,8,Dynamic,1,,2.14059
32,512,288,32,4,enabled,XY,16,Dynamic,1,,2.09152
32,512,288,32,4,enabled,XY,32,Dynamic,1,,1.324
32,512,288,32,4,enabled,XY,64,Dynamic,1,,0.859408
32,512,288,32,4,enabled,XY,128,Dynamic,1,,0.66781
32,512,288,32,4,enabled,XY,256,Dynamic,1,,0.569283
32,512,288,32,8,enabled,XY,1,Dynamic,1,,4.29212
32,512,288,32,8,enabled,XY,2,Dynamic,1,,3.50163
32,512,288,32,8,enabled,XY,4,Dynamic,1,,3.01747
32,512,288,32,8,enabled,XY,8,Dynamic,1,,2.72431
32,512,288,32,8,enabled,XY,16,Dynamic,1,,2.70846
32,512,288,32,8,enabled,XY,32,Dynamic,1,,1.64711
32,512,288,32,8,enabled,XY,64,Dynamic,1,,1.03013
32,512,288,32,8,enabled,XY,128,Dynamic,1,,0.767917
32,512,288,32,8,enabled,XY,256,Dynamic,1,,0.60512
32,512,288,32,16,enabled,XY,1,Dynamic,1,,4.81409
32,512,288,32,16,enabled,XY,2,Dynamic,1,,3.95186
32,512,288,32,16,enabled,XY,4,Dynamic,1,,3.093
32,512,288,32,16,enabled,XY,8,Dynamic,1,,2.93966
32,512,288,32,16,enabled,XY,16,Dynamic,1,,2.73494
32,512,288,32,16,enabled,XY,32,Dynamic,1,,1.65474
32,512,288,32,16,enabled,XY,64,Dynamic,1,,1.00289
32,512,288,32,16,enabled,XY,128,Dynamic,1,,0.735821
32,512,288,32,16,enabled,XY,256,Dynamic,1,,0.598461
32,512,288,32,32,enabled,XY,1,Dynamic,1,,6.48408
32,512,288,32,32,enabled,XY,2,Dynamic,1,,4.80681
32,512,288,32,32,enabled,XY,4,Dynamic,1,,3.59788
32,512,288,32,32,enabled,XY,8,Dynamic,1,,3.0597
32,512,288,32,32,enabled,XY,16,Dynamic,1,,2.87765
32,512,288,32,32,enabled,XY,32,Dynamic,1,,1.65178
32,512,288,32,32,enabled,XY,64,Dynamic,1,,1.0126
32,512,288,32,32,enabled,XY,128,Dynamic,1,,0.783367
32,512,288,32,32,enabled,XY,256,Dynamic,1,,0.628775
32,512,288,32,64,enabled,XY,1,Dynamic,1,,7.92643
32,512,288,32,64,enabled,XY,2,Dynamic,1,,5.98513
32,512,288,32,64,enabled,XY,4,Dynamic,1,,3.57
32,512,288,32,64,enabled,XY,8,Dynamic,1,,3.18372
32,512,288,32,64,enabled,XY,16,Dynamic,1,,2.87952
32,512,288,32,64,enabled,XY,32,Dynamic,1,,1.75645
32,512,288,32,64,enabled,XY,64,Dynamic,1,,1.01812
32,512,288,32,64,enabled,XY,128,Dynamic,1,,0.775238
32,512,288,32,64,enabled,XY,256,Dynamic,1,,0.63624
