Sample,Width,Height,Depth,Collapse,Loop Order,Threads,Schedule,Chunk Size,Elapsed Time
32,512,288,32,disabled,YX,1,Static,0,20.0423
32,512,288,32,disabled,YX,2,Static,0,13.4814
32,512,288,32,disabled,YX,4,Static,0,8.3872
32,512,288,32,disabled,YX,8,Static,0,5.34055
32,512,288,32,disabled,YX,16,Static,0,3.84429
32,512,288,32,disabled,YX,32,Static,0,2.69565
32,512,288,32,disabled,YX,64,Static,0,1.84905
32,512,288,32,disabled,YX,128,Static,0,1.29145
32,512,288,32,disabled,YX,256,Static,0,1.06016
32,512,288,32,disabled,YX,1,Dynamic,1,19.8552
32,512,288,32,disabled,YX,2,Dynamic,1,12.4674
32,512,288,32,disabled,YX,4,Dynamic,1,7.04346
32,512,288,32,disabled,YX,8,Dynamic,1,4.39807
32,512,288,32,disabled,YX,16,Dynamic,1,3.64357
32,512,288,32,disabled,YX,32,Dynamic,1,2.51801
32,512,288,32,disabled,YX,64,Dynamic,1,1.71713
32,512,288,32,disabled,YX,128,Dynamic,1,1.31912
32,512,288,32,disabled,YX,256,Dynamic,1,1.07372
32,512,288,32,enabled,YX,1,Dynamic,1,19.9326
32,512,288,32,enabled,YX,2,Dynamic,1,12.0412
32,512,288,32,enabled,YX,4,Dynamic,1,6.84178
32,512,288,32,enabled,YX,8,Dynamic,1,4.49976
32,512,288,32,enabled,YX,16,Dynamic,1,3.97222
32,512,288,32,enabled,YX,32,Dynamic,1,2.67365
32,512,288,32,enabled,YX,64,Dynamic,1,1.77767
32,512,288,32,enabled,YX,128,Dynamic,1,1.31643
32,512,288,32,enabled,YX,256,Dynamic,1,1.06464
32,512,288,32,disabled,YX,1,Dynamic,4,19.9209
32,512,288,32,disabled,YX,2,Dynamic,4,12.4352
32,512,288,32,disabled,YX,4,Dynamic,4,7.15206
32,512,288,32,disabled,YX,8,Dynamic,4,4.47791
32,512,288,32,disabled,YX,16,Dynamic,4,3.72908
32,512,288,32,disabled,YX,32,Dynamic,4,2.64572
32,512,288,32,disabled,YX,64,Dynamic,4,1.83254
32,512,288,32,disabled,YX,128,Dynamic,4,1.48344
32,512,288,32,disabled,YX,256,Dynamic,4,1.53265
32,512,288,32,enabled,YX,1,Dynamic,4,19.9332
32,512,288,32,enabled,YX,2,Dynamic,4,12.0797
32,512,288,32,enabled,YX,4,Dynamic,4,6.86744
32,512,288,32,enabled,YX,8,Dynamic,4,4.40906
32,512,288,32,enabled,YX,16,Dynamic,4,3.76218
32,512,288,32,enabled,YX,32,Dynamic,4,2.52832
